country_code,groupType,group,Year,n_obs,Optimism_better,Optimism_same,Optimism_worse,Optimism_DKNR,Econ_better,Econ_same,Econ_worse,Econ_DKNR,Happiness_better,Happiness_same,Happiness_worse,Happiness_DKNR,OptimismScore,EconScore,HappinessScore,code
Afghanistan,Overall,Overall,2011,1031,54.89815713,23.86032978,17.16779825,4.07371484,40.64015519,30.16488846,23.66634336,5.528612997,53.34626576,29.19495635,16.58583899,0.872938894,37.73035887,16.97381183,36.76042677,AFG
Afghanistan,Overall,Overall,2013,2780,50.71942446,21.90647482,24.13669065,3.237410072,36.00719424,22.58992806,38.41726619,2.985611511,57.6618705,19.89208633,21.76258993,0.683453237,26.58273381,-2.410071942,35.89928058,AFG
Afghanistan,Overall,Overall,2016,2787,35.91675637,27.05418012,34.76856835,2.260495156,26.73125224,22.35378543,49.15679943,1.758162899,48.54682454,34.30211697,16.72048798,0.430570506,1.148188016,-22.42554718,31.82633656,AFG
Albania,Overall,Overall,2016,1035,51.40096618,33.91304348,12.36714976,2.31884058,40.38647343,33.04347826,24.83091787,1.739130435,50.43478261,32.56038647,16.1352657,0.869565217,39.03381643,15.55555556,34.29951691,ALB
Algeria,Overall,Overall,2013,1000,59.9,12.7,12.6,14.8,49.6,13.6,23.3,13.5,52.9,36.9,9.8,0.4,47.3,26.3,43.1,DZA
Argentina,Overall,Overall,2011,1002,55.98802395,24.05189621,15.96806387,3.992015968,34.23153693,30.33932136,32.73453094,2.694610778,66.66666667,27.34530938,5.588822355,0.399201597,40.01996008,1.497005988,61.07784431,ARG
Argentina,Overall,Overall,2013,991,33.80423814,43.08779011,18.26437941,4.843592331,23.91523713,43.79414733,26.94248234,5.348133199,76.08476287,18.97073663,3.329969728,1.614530777,15.53985873,-3.027245207,72.75479314,ARG
Argentina,Overall,Overall,2016,978,43.6605317,25.15337423,24.33537832,6.850715746,35.88957055,24.13087935,33.33333333,6.646216769,76.89161554,17.89366053,4.805725971,0.408997955,19.32515337,2.556237219,72.08588957,ARG
Armenia,Overall,Overall,2011,500,47.4,24.2,17.6,10.8,32.8,30.8,24.4,12,69.8,18,10,2.2,29.8,8.4,59.8,ARM
Armenia,Overall,Overall,2013,1067,41.9868791,18.08809747,29.70946579,10.21555764,40.29990628,17.15089035,33.27085286,9.278350515,56.70103093,35.52014995,5.435801312,2.343017807,12.27741331,7.029053421,51.26522962,ARM
Armenia,Overall,Overall,2016,1104,33.60507246,41.84782609,14.22101449,10.32608696,33.78623188,37.04710145,19.56521739,9.601449275,65.30797101,30.25362319,4.076086957,0.362318841,19.38405797,14.22101449,61.23188406,ARM
Australia,Overall,Overall,2011,1040,36.63461538,32.78846154,26.44230769,4.134615385,13.17307692,36.34615385,46.73076923,3.75,55.48076923,28.07692308,15.76923077,0.673076923,10.19230769,-33.55769231,39.71153846,AUS
Australia,Overall,Overall,2013,1330,37.06766917,32.40601504,22.48120301,8.045112782,17.21804511,40.60150376,34.96240602,7.218045113,54.58646617,30.97744361,13.30827068,1.127819549,14.58646617,-17.7443609,41.27819549,AUS
Australia,Overall,Overall,2016,1253,26.65602554,38.78691141,28.33200319,6.225059856,11.89146049,37.98882682,43.81484437,6.304868316,58.89864326,26.49640862,13.64724661,0.957701516,-1.675977654,-31.92338388,45.25139665,AUS
Austria,Overall,Overall,2011,1003,24.12761715,29.31206381,44.2671984,2.293120638,3.389830508,37.48753739,57.32801595,1.794616152,59.3220339,32.10368893,6.580259222,1.994017946,-20.13958126,-53.93818544,52.74177468,AUT
Austria,Overall,Overall,2013,953,24.55403987,40.60860441,32.10912907,2.728226653,5.351521511,41.23819517,50.0524659,3.357817419,55.71878279,34.41762854,7.869884575,1.993704092,-7.555089192,-44.70094439,47.84889822,AUT
Austria,Overall,Overall,2016,968,25.41322314,45.35123967,25.10330579,4.132231405,9.504132231,40.08264463,46.90082645,3.512396694,65.80578512,27.0661157,5.888429752,1.239669421,0.309917355,-37.39669421,59.91735537,AUT
Azerbaijan,Overall,Overall,2011,510,54.70588235,12.94117647,11.17647059,21.17647059,47.64705882,20.78431373,17.25490196,14.31372549,57.84313725,35.88235294,3.921568627,2.352941176,43.52941176,30.39215686,53.92156863,AZE
Azerbaijan,Overall,Overall,2013,800,45.875,15.375,22.5,16.25,39.25,16.5,23.375,20.875,59,18.625,17.75,4.625,23.375,15.875,41.25,AZE
Azerbaijan,Overall,Overall,2016,507,28.99408284,11.83431953,14.20118343,44.9704142,19.72386588,15.58185404,16.56804734,48.12623274,60.94674556,26.23274162,4.733727811,8.08678501,14.79289941,3.15581854,56.21301775,AZE
Bangladesh,Overall,Overall,2013,1000,52.1,14.1,32.5,1.3,38.7,14.1,45.7,1.5,56.8,26.8,15.8,0.6,19.6,-7,41,BGD
Bangladesh,Overall,Overall,2016,1000,86.3,2.9,9.6,1.2,80.7,5,13.5,0.8,79.8,14.3,5.9,0,76.7,67.2,73.9,BGD
Belgium,Overall,Overall,2011,528,20.07575758,40.71969697,32.57575758,6.628787879,6.818181818,23.48484848,64.01515152,5.681818182,48.86363636,40.71969697,7.765151515,2.651515152,-12.5,-57.1969697,41.09848485,BEL
Belgium,Overall,Overall,2013,1000,26.9,41.9,22.4,8.8,10,41.5,42.5,6,51.6,33.7,14.3,0.4,4.5,-32.5,37.3,BEL
Belgium,Overall,Overall,2016,1000,21.3,41.5,27.4,9.8,9.6,26.1,50.2,14.1,55.5,35.3,8.8,0.4,-6.1,-40.6,46.7,BEL
Bosnia and Herzegovina,Overall,Overall,2011,1000,23.1,21.3,51.5,4.1,12.7,20.3,64.3,2.7,52.8,29.2,17.2,0.8,-28.4,-51.6,35.6,BIH
Bosnia and Herzegovina,Overall,Overall,2013,1000,13.6,34.2,50.2,2,10.5,35.7,50,3.8,57.2,29.5,11.8,1.5,-36.6,-39.5,45.4,BIH
Bosnia and Herzegovina,Overall,Overall,2016,1000,18.5,35.1,32.2,14.2,18.2,41.3,37.6,2.9,59,29.7,10.8,0.5,-13.7,-19.4,48.2,BIH
Brazil,Overall,Overall,2011,2002,74.42557443,13.58641359,8.041958042,3.946053946,60.43956044,21.17882118,14.08591409,4.295704296,76.37362637,9.89010989,13.38661339,0.34965035,66.38361638,46.35364635,62.98701299,BRA
Brazil,Overall,Overall,2013,2002,57.39260739,24.22577423,13.73626374,4.645354645,49.25074925,25.97402597,20.52947053,4.245754246,71.27872128,15.83416583,11.48851149,1.398601399,43.65634366,28.72127872,59.79020979,BRA
Brazil,Overall,Overall,2016,1974,68.08510638,11.29685917,16.71732523,3.90070922,41.33738602,31.45896657,23.45491388,3.748733536,70.31408308,17.83181358,10.84093212,1.013171226,51.36778116,17.88247214,59.47315096,BRA
Bulgaria,Overall,Overall,2011,997,30.39117352,31.19358074,24.67402207,13.74122367,14.7442327,32.79839519,40.6218656,11.83550652,36.40922768,51.9558676,6.519558676,5.115346038,5.717151454,-25.8776329,29.88966901,BGR
